GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), 0-100kph Time(s),0-100mph Time(s),0-200kph Time(s),0-30mph Time(s),0-60mph Time(s),1/4 mile time(s),1/8 mile time(s),100-0kph Time(s),100-200kph Time(s),40-60mph Time(s),60-0mph Time(s),60-120mph Time(s),60-130mph Time(s),60-80mph Time(s),80-100mph Time(s),80-120kph Time(s),Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%),Actual engine % torque(%),Air Fuel Ratio(Commanded)(:1),Air Fuel Ratio(Measured)(:1),Alcohol Fuel Percentage(%),Ambient air temp(°F),Android device Battery Level(%),Average trip speed(whilst moving only)(mph),Average trip speed(whilst stopped or moving)(mph),Barometer (on Android device)(mb),Barometric pressure (from vehicle)(psi),Boost Pressure Commanded A(psi),Boost Pressure Commanded B(psi),Boost Pressure Sensor A(psi),Boost Pressure Sensor B(psi),Catalyst Temperature (Bank 1 Sensor 1)(°F),Catalyst Temperature (Bank 1 Sensor 2)(°F),Catalyst Temperature (Bank 2 Sensor 1)(°F),Catalyst Temperature (Bank 2 Sensor 2)(°F),Charge air cooler temperature (CACT)(°F),Commanded Equivalence Ratio(lambda),Cost per mile/km (Instant)($/m),Cost per mile/km (Trip)($/m),CO₂ in g/km (Average)(g/km),CO₂ in g/km (Instantaneous)(g/km),Distance to empty (Estimated)(miles),Distance travelled since codes cleared(miles),Distance travelled with MIL/CEL lit(miles),DPF Bank 1 Delta Pressure(psi),DPF Bank 1 Inlet Pressure(psi),DPF Bank 1 Inlet Temperature(°F),DPF Bank 1 Outlet Pressure(psi),DPF Bank 1 Outlet Temperature(°F),DPF Bank 2 Delta Pressure(psi),DPF Bank 2 Inlet Pressure(psi),DPF Bank 2 Inlet Temperature(°F),DPF Bank 2 Outlet Pressure(psi),DPF Bank 2 Outlet Temperature(°F),Drivers demand engine % torque(%),EGR Commanded(%),EGR Error(%),Engine Coolant Temperature(°F),Engine kW (At the wheels)(kW),Engine Load(%),Engine Load(Absolute)(%),Engine Oil Temperature(°F),Engine reference torque(Nm),Engine RPM(rpm),Ethanol Fuel %(%),Evap System Vapour Pressure(Pa),Exhaust gas temp Bank 1 Sensor 1(°F),Exhaust gas temp Bank 1 Sensor 2(°F),Exhaust gas temp Bank 1 Sensor 3(°F),Exhaust gas temp Bank 1 Sensor 4(°F),Exhaust gas temp Bank 2 Sensor 1(°F),Exhaust gas temp Bank 2 Sensor 2(°F),Exhaust gas temp Bank 2 Sensor 3(°F),Exhaust gas temp Bank 2 Sensor 4(°F),Exhaust Pressure Bank 1(psi),Exhaust Pressure Bank 2(psi),Fuel cost (trip)(cost),Fuel flow rate/hour(gal/hr),Fuel flow rate/minute(gal/min),Fuel Level (From Engine ECU)(%),Fuel pressure(psi),Fuel Rail Pressure(psi),Fuel Rail Pressure (relative to manifold vacuum)(psi),Fuel Rate (direct from ECU)(L/m),Fuel Remaining (Calculated from vehicle profile)(%),Fuel Trim Bank 1 Long Term(%),Fuel Trim Bank 1 Short Term(%),Fuel Trim Bank 2 Long Term(%),Fuel Trim Bank 2 Short Term(%),Fuel trim Sensor1(%),Fuel trim Sensor2(%),Fuel trim Sensor3(%),Fuel trim Sensor4(%),Fuel trim Sensor5(%),Fuel trim Sensor6(%),Fuel trim Sensor7(%),Fuel trim Sensor8(%),Fuel used (trip)(gal),GPS Accuracy(ft),GPS Altitude(ft),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),GPS Satellites,GPS vs OBD Speed difference(mph),Horsepower (At the wheels)(hp),Hybrid Battery Charge (%)(%),Hybrid/EV Battery Remaining Charge(%),Hybrid/EV Battery State of Health(%),Hybrid/EV System Battery Current(A),Hybrid/EV System Battery Power(W),Hybrid/EV System Battery Voltage(V),Intake Air Temperature(°F),Intake Manfold Abs Pressure A(psi),Intake Manfold Abs Pressure B(psi),Intake Manifold Pressure(psi),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Litres Per 100 Kilometer(Long Term Average)(l/100km),Mass Air Flow Rate(g/s),Mass air flow sensor A(g/s),Mass air flow sensor B(g/s),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),NOx Post SCR(ppm),NOx Pre SCR(ppm),O2 Sensor1 Wide Range Current(mA),O2 Sensor1 Voltage(V),O2 Sensor1 Wide Range Equivalence Ratio(λ),O2 Sensor1 Wide Range Voltage(V),O2 Sensor2 Voltage(V),O2 Sensor2 Wide Range Current(mA),O2 Sensor2 Wide Range Equivalence Ratio(λ),O2 Sensor2 Wide Range Voltage(V),O2 Sensor3 Voltage(V),O2 Sensor3 Wide Range Current(mA),O2 Sensor3 Wide Range Equivalence Ratio(λ),O2 Sensor3 Wide Range Voltage(V),O2 Sensor4 Voltage(V),O2 Sensor4 Wide Range Current(mA),O2 Sensor4 Wide Range Equivalence Ratio(λ),O2 Sensor4 Wide Range Voltage(V),O2 Sensor5 Voltage(V),O2 Sensor5 Wide Range Current(mA),O2 Sensor5 Wide Range Equivalence Ratio(λ),O2 Sensor5 Wide Range Voltage(V),O2 Sensor6 Voltage(V),O2 Sensor6 Wide Range Current(mA),O2 Sensor6 Wide Range Equivalence Ratio(λ),O2 Sensor6 Wide Range Voltage(V),O2 Sensor7 Voltage(V),O2 Sensor7 Wide Range Current(mA),O2 Sensor7 Wide Range Equivalence Ratio(λ),O2 Sensor7 Wide Range Voltage(V),O2 Sensor8 Voltage(V),O2 Sensor8 Wide Range Current(mA),O2 Sensor8 Wide Range Equivalence Ratio(λ),O2 Sensor8 Wide Range Voltage(V),Odometer(from ECU)(miles),Percentage of City driving(%),Percentage of Highway driving(%),Percentage of Idle driving(%),Positive Kinetic Energy (PKE)(km/hr²),Relative Accelerator Pedal Position(%),Relative Throttle Position(%),Run time since engine start(s),Speed (GPS)(mph),Speed (OBD)(mph),Throttle Position(Manifold)(%),Timing Advance(°),Torque(Nm),Transmission Temperature(Method 2)(°F),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Trip Distance(miles),Trip distance (stored in vehicle profile)(miles),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Turbo Boost & Vacuum Gauge(psi),Voltage (Control Module)(V),Voltage (OBD Adapter)(V),Volumetric Efficiency (Calculated)(%)
Sun Jun 12 21:56:13 CDT 2022,12-Jun-2022 21:56:13.189,-96.6288641691044,33.021738019398335,0.0,5.8122477531433105,148.24144682573996,0.0,2.21994114,8.59980488,4.11146736,0.02097195,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18.43137169,-0.01,0.25,0.81,0.38,21.1764698,9.8039217,-,40,15.0481205,-,-,-,64,-,0,988.99346924,14.21369832,-,-,-,-,402.08001099,-,-,-,-,1.02368164,-,-,-,-,-,3470.97947851,0,-,-,-,-,-,-,-,-,-,-,-,0,0,152.6,-,0,36.47058868,-,162,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.94117641,-,-,-,-,-,-5.46875,-,-,-,-,-,-,-,-,-,-,-,-,19.06905434,486.35643059,0,33.02173615,-96.62886047,24,0,-,27.45098114,27.45098114,-,-,-,0,-,-,-,-,0,28.55221176,-,3.50232506,-,10.40625,0,0,67.15955353,-,-,-,-,0.99555051,3.98220205,1.27499998,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.11361214,0,99.88639069,-,-,-,191,0,0,17.25490189,0,-,-,-,-,-,-,17.45584812,0,0,0,0,14.39000034,13.69999981,-
Sun Jun 12 21:56:16 CDT 2022,12-Jun-2022 21:56:16.123,-96.62886571343049,33.0217380661788,0.0,5.791059970855713,147.86258752363392,0.0,2.26600313,8.84506893,3.87338161,0.02681206,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18.43137169,0,0.2,0.88999999,0.28,21.1764698,9.8039217,-,40,15.0481205,-,-,-,64,-,0,988.98919678,14.21369832,-,-,-,-,402.08001099,-,-,-,-,1.02368164,-,-,-,-,-,3470.97947851,0,-,-,-,-,-,-,-,-,-,-,-,0,0,152.6,-,0,36.47058868,-,162,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.94117641,-,-,-,-,-,-5.46875,-,-,-,-,-,-,-,-,-,-,-,-,18.99954062,485.1135001,0,33.02173996,-96.6288681,25,0,-,27.05882263,27.05882263,-,-,-,0,-,-,-,-,0,28.55221176,-,3.50232506,-,10.40625,0,0,67.15955353,-,-,-,-,0.99555051,3.98220205,1.27499998,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.11361214,0,99.88639069,-,-,-,194,0,0,17.25490189,0,-,-,-,-,-,-,17.45584812,0,0,0,0,14.39000034,13.69999981,-
Sun Jun 12 21:56:18 CDT 2022,12-Jun-2022 21:56:18.676,-96.62886626818373,33.02173744193287,0.0,5.783854007720947,147.60295300023074,0.0,2.36829615,9.37866879,1.87716937,0.02035403,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18.43137169,-0.01,0.25,0.93000001,0.05,21.1764698,9.8039217,-,40,15.0481205,-,-,-,64,-,0,988.98974609,14.21369832,-,-,-,-,402.08001099,-,-,-,-,1.02368164,-,-,-,-,-,3470.97947851,0,-,-,-,-,-,-,-,-,-,-,-,0,0,152.6,-,0,36.47058868,-,162,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.94117641,-,-,-,-,-,-5.46875,-,-,-,-,-,-,-,-,-,-,-,-,18.975899,484.26165116,0,33.02173615,-96.6288681,25,0,-,26.66666603,26.66666603,-,-,-,0,-,-,-,-,0,28.55221176,-,3.50232506,-,10.40625,0,0,67.15955353,-,-,-,-,0.99555051,3.98220205,1.27499998,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.11361214,0,99.88639069,-,-,-,197,0,0,17.25490189,0,-,-,-,-,-,-,17.45584812,0,0,0,0,14.39000034,13.69999981,-
Sun Jun 12 21:56:20 CDT 2022,12-Jun-2022 21:56:20.606,-96.62886646004117,33.021736957718645,0.0,5.8452653884887695,147.33890493255086,0.0,3.14835644,9.28893757,1.23649108,0.01656025,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18.43137169,0,0.30000001,0.93000001,0.06,21.1764698,9.8039217,-,40,15.0481205,-,-,-,64,-,0,988.99481201,14.21369832,-,-,-,-,402.08001099,-,-,-,-,1.02368164,-,-,-,-,-,3470.97947851,0,-,-,-,-,-,-,-,-,-,-,-,0,0,150.8,-,0,36.47058868,-,162,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.94117641,-,-,-,-,-,-5.46875,-,-,-,-,-,-,-,-,-,-,-,-,19.17737991,483.39533441,0,33.02173615,-96.6288681,26,0,-,26.66666603,26.66666603,-,-,-,0,-,-,-,-,0,28.55221176,-,3.50232506,-,10.40625,0,0,67.15955353,-,-,-,-,0.99555051,3.98220205,1.27499998,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.11361214,0,99.88639069,-,-,-,199,0,0,17.25490189,0,-,-,-,-,-,-,17.45584812,0,0,0,0,14.36999989,13.69999981,-
Sun Jun 12 21:56:23 CDT 2022,12-Jun-2022 21:56:23.748,-96.62886660111927,33.02173626770737,0.0,5.691339492797852,147.08490352372925,0.0,2.45264316,9.37627506,0.97627163,0.01453459,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18.43137169,0,0.28999999,0.94,0.03,21.1764698,9.8039217,-,40,15.0481205,-,-,-,64,-,0,989.02331543,14.21369832,-,-,-,-,402.08001099,-,-,-,-,1.02368164,-,-,-,-,-,3470.97947851,0,-,-,-,-,-,-,-,-,-,-,-,0,0,150.8,-,0,36.47058868,-,162,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.94117641,-,-,-,-,-,-5.46875,-,-,-,-,-,-,-,-,-,-,-,-,18.67237369,482.56200829,0,33.02173615,-96.6288681,27,0,-,25.88235283,25.88235283,-,-,-,0,-,-,-,-,0,28.55221176,-,3.50232506,-,10.40625,0,0,67.15955353,-,-,-,-,0.99555051,3.98220205,1.27499998,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.11361214,0,99.88639069,-,-,-,202,0,0,17.25490189,0,-,-,-,-,-,-,17.45584812,0,0,0,0,14.39000034,13.69999981,-
Sun Jun 12 21:56:25 CDT 2022,12-Jun-2022 21:56:25.896,-96.62886730468,33.021735829931494,0.0,5.736730575561523,146.99008496293592,0.0,3.86859608,8.7224369,2.33539486,0.03177229,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18.43137169,0.01,0.43000001,0.88999999,0.13,21.1764698,9.8039217,-,40,15.0481205,-,-,-,64,-,0,989.02740479,14.21369832,-,-,-,-,402.08001099,-,-,-,-,1.02368164,-,-,-,-,-,3470.97947851,0,-,-,-,-,-,-,-,-,-,-,-,0,0,150.8,-,0,36.47058868,-,162,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.94117641,-,-,-,-,-,-5.46875,-,-,-,-,-,-,-,-,-,-,-,-,18.82129457,482.25092523,0,33.02173615,-96.6288681,26,0,-,25.88235283,25.88235283,-,-,-,0,-,-,-,-,0,28.55221176,-,3.50232506,-,10.40625,0,0,67.15955353,-,-,-,-,0.99555051,3.98220205,1.27499998,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.11361214,0,99.88639069,-,-,-,204,0,0,17.25490189,0,-,-,-,-,-,-,17.45584812,0,0,0,0,14.39999962,13.69999981,-
Sun Jun 12 21:56:28 CDT 2022,12-Jun-2022 21:56:28.433,-96.62886815182021,33.02173463568389,0.0,5.663059711456299,146.8846944845637,0.0,2.95393944,9.18126011,0.44566321,0.03633109,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18.43137169,0,0.31,0.94,-0.01,21.1764698,9.8039217,-,40,15.0481205,-,-,-,64,-,0,988.97979736,14.21369832,-,-,-,-,402.08001099,-,-,-,-,1.02368164,-,-,-,-,-,3470.97947851,0,-,-,-,-,-,-,-,-,-,-,-,0,0,150.8,-,0,36.47058868,-,162,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.94117641,-,-,-,-,-,-5.46875,-,-,-,-,-,-,-,-,-,-,-,-,18.57959226,481.90514946,0,33.02173615,-96.6288681,29,0,-,25.49019623,25.49019623,-,-,-,0,-,-,-,-,0,28.55221176,-,3.50232506,-,10.40625,0,0,67.15955353,-,-,-,-,0.99555051,3.98220205,1.27499998,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.11361214,0,99.88639069,-,-,-,207,0,0,17.25490189,0,-,-,-,-,-,-,17.45584812,0,0,0,0,14.39999962,13.60000038,-
Sun Jun 12 21:56:30 CDT 2022,12-Jun-2022 21:56:30.229,-96.6288684984559,33.02173354148891,0.0,5.58146333694458,146.83262978482423,0.0,2.21336102,9.02094173,3.06400943,0.01602578,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18.43137169,0,0.23,0.92000002,0.20999999,21.1764698,9.8039217,-,40,15.0481205,-,-,-,64,-,0,989.01013184,14.21369832,-,-,-,-,402.08001099,-,-,-,-,1.02368164,-,-,-,-,-,3470.97947851,0,-,-,-,-,-,-,-,-,-,-,-,0,0,150.8,-,0,36.47058868,-,162,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.94117641,-,-,-,-,-,-5.46875,-,-,-,-,-,-,-,-,-,-,-,-,18.31188762,481.73433913,0,33.02173233,-96.6288681,27,0,-,25.09803963,25.09803963,-,-,-,0,-,-,-,-,0,28.55221176,-,3.50232506,-,10.40625,0,0,67.15955353,-,-,-,-,0.99555051,3.98220205,1.27499998,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.11361214,0,99.88639069,-,-,-,208,0,0,17.25490189,0,-,-,-,-,-,-,17.45584812,0,0,0,0,14.39000034,13.69999981,-
Sun Jun 12 21:56:31 CDT 2022,12-Jun-2022 21:56:31.770,-96.62886853459337,33.02173321240128,0.0,5.610293388366699,146.7446976923325,0.0,2.23728919,9.05025387,3.11605334,0.01470848,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18.43137169,0,0.20999999,0.92000002,0.2,21.1764698,9.8039217,-,40,15.0481205,-,-,-,64,-,0,989.00128174,14.21369832,-,-,-,-,402.08001099,-,-,-,-,1.02368164,-,-,-,-,-,3470.97947851,0,-,-,-,-,-,-,-,-,-,-,-,0,0,150.8,-,0,36.47058868,-,162,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.94117641,-,-,-,-,-,-5.46875,-,-,-,-,-,-,-,-,-,-,-,-,18.4064744,481.44588393,0,33.02173233,-96.6288681,27,0,-,25.09803963,25.09803963,-,-,-,0,-,-,-,-,0,28.55221176,-,3.50232506,-,10.40625,0,0,67.15955353,-,-,-,-,0.99555051,3.98220205,1.27499998,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.11361214,0,99.88639069,-,-,-,210,0,0,17.25490189,0,-,-,-,-,-,-,17.45584812,0,0,0,0,14.39000034,13.69999981,-
Sun Jun 12 21:56:35 CDT 2022,12-Jun-2022 21:56:35.514,-96.62886888379153,33.021732468640295,0.0,5.596185684204102,146.6074700006658,0.0,2.86480689,9.36610603,1.22751796,0.02337587,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18.43137169,0,0.25,0.93000001,0.13,21.1764698,9.8039217,-,40,15.0481205,-,-,-,64,-,0,988.9911499,14.21369832,-,-,-,-,402.08001099,-,-,-,-,1.02368164,-,-,-,-,-,3470.97947851,0,-,-,-,-,-,-,-,-,-,-,-,0,0,150.8,-,0,36.47058868,-,162,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.94117641,-,-,-,-,-,-5.46875,-,-,-,-,-,-,-,-,-,-,-,-,18.36018928,480.99562951,0,33.02173233,-96.6288681,27,0,-,24.31372643,24.31372643,-,-,-,0,-,-,-,-,0,28.55221176,-,3.50232506,-,10.40625,0,0,67.15955353,-,-,-,-,0.99555051,3.98220205,1.27499998,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.11361214,0,99.88639069,-,-,-,213,0,0,17.25490189,0,-,-,-,-,-,-,17.45584812,0,0,0,0,14.39999962,13.69999981,-
